BLUE,3.16,4
BLZE,5.62,6
BMBL,15.09,20
BMI,144.99,150
BMO,84.26,90
BMRN,89,90
BMW@DE,80.55,90
BMY,58.54,60
BNGO,3.07,4
BNTX,113.1,150
BOH,51.07,60
BOIL,73.17,80
BOKF,80.25,90
BOOT,82.82,90
BOSS@DE,50.78,60
BOTZ,25.05,30
BOX,25.86,30
BPMC,51.93,60
BR,182.74,200
BRBR,43,45
BRC,56.16,60
BRK B,350.73,400
BRKR,64.53,70
BRO,71.91,80
BROS,25.66,30
BRX,21.83,25
BSX,53.97,60
BSY,54,60
BTAI,3.7,4
BTI,31.71,35
BUD,55.58,60
BURL,135.61,150
BVB@DE,3.65,4
BWA,40.74,45
BWXT,78.08,80
BX,108.07,150
BXMT,21.9,25
BXP,59.72,60
BYND,9.72,10
BYSI,1.23,2
BZUN,3.23,4
C,42,45
CABO,654.8,700
CACC,463.26,500
CACI,338.93,350
CAG,27.94,30
CAH,92.35,100
CALM,48.99,50
CAR,185,200
CARA,1.74,2
CARG,17.9,20
CARR,56.19,60
CARS,17.25,20
CASY,278.75,300
CAT,276.52,300
CB,211.46,250
CBRE,74.31,80
CBRL,68.57,70
CBSH,48.81,50
CBT,70.29,80
CBU,43.15,45
CC,28.08,30
CCI,94.73,100
CCK,88.54,90
CCL,14.17,15
CCOI,66.12,70
CCS,67.17,70
CCSI,25.42,30
CDAY,75.45,80
CDLX,16.85,20
CDNA,7.04,8
CDNS,255.73,300
CDW,215.49,250
CE,125.77,150
CEG,116.16,150
CELH,176.35,200
CENT,44.2,45
CENTA,40.46,45
CERE,24.73,25
CEVA,19.6,20
CF,87.72,90
CFG,27.23,30
CFLT,32.46,35
CFR,93,100
CG,30.91,35
CGEN,0.99,1
CGNT,5.14,6
CGNX,42.77,45
CHAU,16.25,20
CHD,92.09,100
CHDN,116.4,150
CHE,520.66,600
CHEF,21.38,25
CHGG,9.05,10
CHH,125.29,150
CHKP,137.34,150
CHMF,1310,1500
CHPT,5.18,6
CHRS,4.05,5
CHRW,87.04,90
CHTR,451.83,500
CHWY,19.1,20
CHX,35.62,40
CI,297.73,300
CIAN@US,8.49,9
CIBR,50.17,60
CIEN,48.04,50
CINF,103.2,150
CL,71.23,80
CLB,23.88,25
CLBK,16.26,20
CLDT,10,11
CLF,15.92,20
CLH,167.76,200
CLOV,1.15,2
CLSK,4.33,5
CLVT,6.96,7
CLX,133.48,150
CM,38.59,40
CMA,42.29,45
CMC,49.61,50
CMCO,36.04,40
CMCSA,44.92,45
CME,221.09,250
CMG,1871.9,2000
CMI,231.26,250
CMP,27.76,30
CMS,54.39,60
CNC,72.16,80
CNHI,12.3,15
CNK,19.84,20
CNMD,101.8,150
CNNE,19.12,20
CNO,24.24,25
CNP,27.76,30
CNQ,66.92,70
CNS,62.69,70
CNX,23.09,25
CNXC,83.36,90
CNXN,55.86,60
CNYA,28.21,30
COF,98.5,100
COFS,20.31,25
COHU,36.47,40
COIN,84.2,90
COKE,664,700
COLB,20.38,25
COLD,30.38,35
COLM,74.4,80
CON@DE,66.67,70
COO,316.97,350
COOP,55.68,60
COP,125.98,150
COPX,36.38,40
COR,189.99,200
CORR,0.83,1
CORT,27.75,30
COST,575.9,600
COTY,11.59,15
COUR,19.66,20
CP,74.5,80
CPB,41.2,45
CPNG,17.84,20
CPRI,52.7,60
CPRT,46.57,50
CPS,14.22,15
CPT,98.27,100
CQQQ,38.06,40
CR,92.11,100
CRI,69.26,70
CRL,199.12,200
CRM,209.14,250
CRMT,93.18,100
CRNC,20.41,25
CROX,89.92,90
CRS,72.6,80
CRSP,45.72,50
CRSR,14.65,15
CRUS,74.42,80
CRVL,206.89,250
CRWD,190.2,200
CSCO,54.5,60
CSGP,82.83,90
CSGS,53.3,60
CSL,268.89,300
CSWI,182.66,200
CSX,32.28,35
CTAS,527.73,600
CTLT,47.78,50
CTRA,29.32,30
CTSH,68.57,70
CTVA,51.17,60
CUBE,38.73,40
CUZ,20.41,25
CVCO,275.79,300
CVGW,26.52,30
CVLT,69.75,70
CVM,1.31,2
CVNA,42.4,45
CVS,74.38,80
CVX,169.45,200
CWB,67.8,70
CWEN,22.46,25
CWH,20.58,25
CWST,78.67,80
CWT,49.08,50
CXT,55.8,60
CXW,11.62,15
CYBR,169.32,200
CYRX,13.67,15
CYTK,35.95,40
CZR,47.73,50
D,44.75,45
DAL,37.36,40
DAN,14.66,15
DAR,52.32,60
DASH,83.79,90
DAVA,61.46,70
DAWN,12.43,15
DB1@DE,142.74,150
DBK@DE,10.69,11
DBX,28.32,30
DCI,61.65,70
DCPH,13.16,15
DD,76.87,80
DDD,5,6
DDOG,94.79,100
DDS,331.07,350
DE,392.52,400
DECK,522.58,600
DEI,12.83,15
DELL,70.94,80
DFS,92.85,100
DG,112.36,150
DGX,125.22,150
DHER@DE,48,50
DHI,109.3,150
DHL@DE,42.15,45
DHR,246.01,250
DIA,339.81,350
DINO,57.2,60
DIOD,81.15,90
DIS,85.7,90
DISH,5.96,6
DK,28.36,30
DKNG,31.09,35
DKS,108.86,150
DLB,82.32,90
DLO,19.97,20
DLR,125.53,150
DLTH,5.99,6
DLTR,109.84,150
DLX,19.1,20
DM,1.45,2
DMTK,1.56,2
DNA,1.88,2
DNB,9.99,10
DNLI,21.93,25
DNMR,2.07,3
DNOW,12.05,15
DOCN,25.06,30
DOCS,22.69,25
DOCU,43.08,45
DORM,78.41,80
DOV,143.23,150
DOW,52.05,60
DPZ,383.1,400
DRI,143.55,150
DRIV,23.61,25
DRQ,28.1,30
DSKY,133,150
DT,49.89,50
DTE@DE,14.7,15
DUK,90.12,100
DUOL,179.58,200
DUST,16.16,20
DV,29.04,30
DVA,95.28,100
DVN,48.51,50
DVY,108,150
DXC,22.63,25
DXCM,96.15,100
DXJ,88.66,90
DY,89.29,90
EA,132.87,150
EAF,3.83,4
EAR,2.29,3
EAT,31.93,35
EBAY,44.44,45
EBS,3.43,4
ECL,170.94,200
ECPG,50.6,60
ED,89.04,90
EDIT,7.9,8
EEFT,79.67,80
EEM,38.74,40
EFV,49.39,50
EFX,188.35,200
EG,397.03,400
EGHT,2.62,3
EGP,172.9,200
EGRX,15.75,20
EHTH,8.44,9
EIDO,22.31,25
EIX,65.42,70
EL,147.04,150
ELAN,11.22,15
ELS,65.59,70
ELV,458.45,500
EMB,82.17,90
EMBC,15.68,20
EME,210.57,250
EMN,77.31,80
EMR,97.45,100
ENB,33.31,35
ENOV,52.65,60
ENPH,131.83,150
ENR,32.03,35
ENS,96.65,100
ENSG,97.42,100
ENTA,11.15,15
ENTG,99.72,100
ENV,44,45
ENVX,12.62,15
EOAN@DE,11.75,15
EOG,129.61,150
EPAM,260,300
EPC,36.99,40
EPI,37.24,40
EPP,40.45,45
EQH,28.38,30
EQIX,756.08,800
EQR,60.93,70
EQT,44.62,45
ERIE,308.26,350
ES,59.23,60
ESAB,71.72,80
ESE,108.08,150
ESGD,70.09,80
ESGE,30.81,35
ESGR,243.33,250
ESGU,95.98,100
ESGV,77.12,80
ESPR,1.08,2
ESS,223.22,250
ESTC,83.27,90
ET,11.87,15
ETD,30.47,35
ETLN@GS,0.95,1
ETN,220.33,250
ETR,95.13,100
ETRN,9.89,10
ETSY,65.5,70
EUFN,19.33,20
EVBG,23.1,25
EVER,8.36,9
EVH,28.5,30
EVK@DE,25.24,30
EVR,137.77,150
EVRG,51.35,60
EVT@DE,24,25
EW,74.36,80
EWA,21.82,25
EWBC,52.72,60
EWC,33.81,35
EWI,30.94,35
EWM,20.93,25
EWP,27.77,30
EWQ,35.91,40
EWS,18.46,20
EWU,32.36,35
EWW,58.15,60
EWZ,30.9,35
EXAS,68.54,70
EXC,40.17,45
EXEL,22.34,25
EXLS,30.06,35
EXP,172.04,200
EXPD,118.36,150
EXPE,104.05,150
EXPI,16.22,20
EXPO,90.78,100
EXR,122.93,150
EYE,16.26,20
EZA,39.35,40
EZU,42.83,45
F,12.55,15
FAF,55.86,60
FANG,163.11,200
FARO,15.23,20
FAS,60.25,70
FAST,60.68,70
FATE,2.16,3
FAZ,21.83,25
FBIN,62.65,70
FCEL,1.47,2
FCFS,102.31,150
FCN,193.12,200
FCX,37.82,40
FDS,458.3,500
FDX,267.54,300
FE,35.49,40
FEES,0.195,1
FELE,91.25,100
FEZ,42.78,45
FFIN,25.26,30
FFIV,162.07,200
FG,31.41,35
FGEN,0.89,1
FHI,34.87,35
FI,115.4,150
FICO,906.32,1000
FIGS,6.39,7
FIPO,7.52,8
FIS,55.35,60
FITB,25.45,30
FIVE,170.42,200
FIVE@GS,23.95,25
FIVN,65.89,70
FIXP@GS,4.07,5
FIZZ,47.81,50
FL,21.33,25
FLGT,27.27,30
FLO,22.24,25
FLR,37.89,40
FLS,40.18,45
FLT,264.4,300
FLWS,7.14,8
FLYW,31.91,35
FMC,67.34,70
FME@DE,55.27,60
FND,91.74,100
FNF,41.44,45
FNKO,8,9
FNV,137.31,150
FOLD,12.68,15
FORM,35.81,40
FORR,29.85,30
FOUR,55.33,60
FOX,29.23,30
FOXA,31.65,35
FOXF,99.53,100
FR,47.65,50
FRE@DE,29.5,30
FRHC,87.86,90
FRME,28.46,30
FROG,25.75,30
FRPH,56.15,60
FRPT,66.36,70
FRT,91.26,100
FSLR,162.88,200
FSLY,19.49,20
FSR,6.88,7
FTCH,2.17,3
FTCI,1.5,2
FTDR,31.62,35
FTI,21.03,25
FTNT,64.77,70
FTRE,29.48,30
FTV,77.58,80
FUL,71.93,80
FULC,4.43,5
FVRR,26.28,30
FWRD,73.87,80
FXI,27.4,30
G,37.15,40
GAZP,170,200
GBCI,31.47,35
GBX,41.06,45
GCHE,3139.5,3500
GCO,31.16,35
GD,241.26,250
GDDY,76.54,80
GDEV,3.32,4
GDOT,14.01,15
GDRX,5.63,6
GDX,28.53,30
GE,113.85,150
GEF,68.02,70
GEHC,68.98,70
GEN,18.15,20
GES,22.27,25
GEVO,1.22,2
GGG,75.96,80
GH,30.06,35
GHC,602.4,700
GILD,77.12,80
GIS,64.63,70
GKOS,75.05,80
GL,114.04,150
GLBE,40.75,45
GLD,175.24,200
GLOB,204.23,250
GLPI,47.3,50
GLTR@GS,6.88,7
GLW,30.62,35
GM,33.14,35
GMED,54.78,60
GMKN,15358,20000
GMS,64.29,70
GNL,9.82,10
GNRC,109.55,150
GNTX,32.65,35
GO,28.98,30
GOGL,8.1,9
GOLD,15.32,20
GOOG,142.69,150
GOOGL,141.69,150
GOSS,0.83,1
GPC,148.57,150
GPI,269.09,300
GPK,22.27,25
GPN,117.11,150
GPRO,3.14,4
GPS,11.58,15
GRBK,42.6,45
GRMN,109.57,150
GROWS,358.56,400
GRPH,2.59,3
GS,325.13,350
GSHD,74.85,80
GSLC,86.06,90
GT,12.67,15
GTHX,1.48,2
GTLB,48.86,50
GTLS,170.56,200
GTN,6.95,7
GTX,7.87,8
GVA,39.2,40
GWRE,92.83,100
GWW,744.5,800
GXC,73.19,80
H,112.79,150
HA,6.36,7
HAE,93.45,100
HAIN,10.73,11
HAL,42.3,45
HALO,38.29,40
HAS,66.62,70
HASI,21.96,25
HBAN,10.46,11
HBI,4.08,5
HCA,254.24,300
HCAT,10.19,11
HCC,52.23,60
HCCI,45.4,50
HCSG,10.53,11
HD,303.91,350
HDV,98.85,100
HE,12.69,15
HEAR,9.35,10
HEI,169.17,200
HEI@DE,55.35,60
HEN3@DE,67.73,70
HES,158.23,200
HGV,40.85,45
HHH,74.1,80
HHR,25.48,30
HI,43.25,45
HIBB,49.37,50
HIG,71.48,80
HII,223,250
HIMS,6.57,7
HIW,20.67,25
HLF,14.21,15
HLI,109.65,150
HLNE,90.27,100
HLT,154.37,200
HOG,33.26,35
HOLX,71.08,80
HON,189.21,200
HOOD,10.18,11
HOT@DE,57.06,60
HP,43.21,45
HPE,17.58,20
HPQ,27.04,30
HQY,76.47,80
HR,15.47,20
HRB,43.32,45
HRL,38.27,40
HRMY,33.11,35
HRTX,1.06,2
HSIC,74.88,80
HST,16.42,20
HSY,201.02,250
HTHT,39.46,40
HUBB,317.46,350
HUBG,80.43,90
HUBS,505.01,600
HUM,513.59,600
HUN,24.47,25
HURN,106.2,150
HWM,46.88,50
HXL,69.44,70
HYDR,0.7165,1
HYG,73.49,80
HYLN,1.22,2
HZO,33.45,35
IAC,50.48,60
IART,38.73,40
IAU,36.81,40
IBB,124.13,150
IBKR,90.09,100
IBM,143.67,150
IBN,23.13,25
IBP,125.42,150
IBTX,39.53,40
ICE,112.52,150
ICFI,131.24,150
ICLN,14.64,15
ICLR,253.64,300
ICPT,18.97,20
ICUI,120.31,150
IDA,98.38,100
IDCC,82.99,90
IDXX,456.58,500
IEFA,65.43,70
IEMG,48.27,50
IEV,48.76,50
IEX,210.56,250
IFF,68.29,70
IFX@DE,28.44,30
IGMS,8.35,9
IGOV,37.55,40
IGSB,49.84,50
IGV,357.54,400
IIPR,78,80
IJH,251.14,300
IJR,94.67,100
ILF,25.49,30
ILMN,141.55,150
INCY,59.04,60
INDA,44.8,45
INDB,49.77,50
INGN,5.25,6
INGR,98.34,100
INMD,30.97,35
INO,0.59,1
INSG,0.46,1
INSM,25.52,30
INSP,200.01,250
INTC,37.21,40
INTU,550.01,600
INVA,13.68,15
INVH,32.98,35
IONS,47.09,50
IOSP,103.44,150
IOVA,4.67,5
IP,35.94,40
IPAR,136.77,150
IPG,29.53,30
IPGP,101.89,150
IQLT,34.25,35
IQV,205.45,250
IR,66.79,70
IRAO,4.575,5
IRBT,39,40
IRDM,45.71,50
IRM,60.89,70
IRTC,94.94,100
IRWD,9.92,10
ISRG,300.98,350
IT,362.43,400
ITB,79.53,80
ITCI,54.68,60
ITGR,81.04,90
ITOT,96.2,100
ITRI,60.56,70
ITT,101.3,150
ITW,237.87,250
IUSV,75.61,80
IVV,440.54,450
IVZ,14.68,15
IWB,240.46,250
IWD,152.58,200
IWF,277.77,300
IWM,177.22,200
IWN,135.83,150
IWO,225.34,250
IWP,93.39,100
IWR,70.02,80
IXC,41.27,45
IXG,71.32,80
IXUS,61,70
IYE,47.44,50
IYF,75.33,80
IYR,104.21,150
IYT,236.56,250
IYW,111,150
J,141.2,150
JACK,69.21,70
JAMF,17.96,20
JBHT,194.99,200
JBL,141.33,150
JBSS,101.45,150
JBT,105.36,150
JCI,53.54,60
JD,30.79,35
JEF,36.81,40
JELD,13.45,15
JHG,25.76,30
JJSF,163.64,200
JKHY,151.36,200
JLL,141.6,150
JNJ,159.26,200
JNK,90.29,100
JNPR,28.04,30
JNUG,27.48,30
JOBY,6.75,7
JOUT,54.8,60
JPM,153.06,200
JWN,15.17,20
K,59.18,60
KAI,232.95,250
KALU,75.32,80
KAP@GS,28.81,30
KBE,37.44,40
KBH,46.62,50
KBWB,40.07,45
KD,15.84,20
KDP,31.73,35
KEP,6.63,7
KEX,82.74,90
KEY,10.79,11
KEYS,133.54,150
KFY,50.27,60
KGC,4.99,5
KHC,33.76,35
KIDS,31.97,35
KIM,17.64,20
KKR,63.34,70
KLAC,506.8,600
KLIC,49.27,50
KMB,121.43,150
KMG@KT,11867.5,20000
KMI,17.01,20
KMPR,43.47,45
KMT,25,30
KMX,71.4,80
KNF,54,60
KNSL,444,450
KNX,50.74,60
KO,56.79,60
KOD,1.9,2
KOPN,1.29,2
KR,45.29,50
KRC,31.78,35
KRG,21.49,25
KRTX,181.08,200
KRYS,118.46,150
KSPI@GS,59,60
KSS,21.4,25
KTB,44.76,45
KTOS,17.71,20
KWEB,29.08,30
KYMR,15.89,20
L,64.47,70
LABU,4.16,5
LAD,296.17,300
LANC,174.59,200
LASR,10.46,11
LAZR,4.6,5
LBRDK,93.31,100
LC,6.11,7
LCID,5.67,6
LCII,117.95,150
LDOS,95.74,100
LEA,142.05,150
LECO,187.89,200
LEG,25.76,30
LEGH,19.54,20
LEN,115.49,150
LEVI,14.56,15
LFST,6.85,7
LFUS,248.65,250
LGIH,102.27,150
LGND,60.85,70
LH,204.05,250
LHA@DE,5.96,6
LHX,182.09,200
LI,36.84,40
LICY,3.58,4
LIN,383.02,400
LIT,54.86,60
LITE,46.14,50
LKOH,6363,7000
LKQ,51.48,60
LLY,612.89,700
LMT,447.32,450
LNC,25.07,30
LNG,174.39,200
LNT,49.77,50
LNTH,76.5,80
LOGI,72.47,80
LOPE,119.64,150
LOW,208.46,250
LPL,4.94,5
LPLA,241.49,250
LPRO,7.34,8
LPSN,3.95,4
LPX,55.65,60
LQD,102,150
LRCX,664.8,700
LRN,46.14,50
LSCC,87.55,90
LSPD,14.82,15
LSRG,773,800
LSTR,181.26,200
LTHM,18.97,20
LULU,388.8,400
LUMN,1.45,2
LUV,27.66,30
LVS,46.99,50
LW,102.79,150
LYB,96.1,100
LYEL,1.61,2
LYFT,11.67,15
LYV,88.11,90
M,11.73,15
MA,405.12,450
MAA,136.53,150
MAC,11.44,15
MAGN,51.735,60
MAN,74.57,80
MANH,211.3,250
MANU,20.5,25
MAR,201.27,250
MARA,9.68,10
MAS,53.77,60
MASI,88.34,90
MAT,22,25
MATV,14.3,15
MATX,91.7,100
MBC,12.28,15
MBUU,49.81,50
MC,45.39,50
MCD,264.37,300
MCHI,44.93,45
MCHP,81.66,90
MCK,461.31,500
MCO,327.06,350
MCRI,63.86,70
MD,13,15
MDB,374.24,400
MDC,41.87,45
MDGL,151.7,200
MDLZ,69.75,70
MDRX,14.08,15
MDT,78.4,80
MDU,19.55,20
MDY,459.8,500
MED,76.56,80
MEDP,250.48,300
MEI,25.22,30
MELI,1291.3,1500
MET,63.15,70
META,301.73,350
METC,10.92,11
METCB,12.16,15
MGA,54.73,60
MGK,237.9,250
MGM,38.29,40
MGNT,5764,6000
MGPI,105.5,150
MGRC,105.95,150
MGY,23.14,25
MHK,86.18,90
MHO,85.21,90
MIDD,128.32,150
MKC,75.92,80
MKSI,88.94,90
MKTX,241.41,250
MLAB,108.01,150
MLCO,10.07,11
MLKN,25.75,30
MLM,437.32,450
MLNK,17.71,20
MMC,194.69,200
MMI,29.86,30
MMM,93.8,100
MMS,77.72,80
MMSI,69.47,70
MNDY,163.31,200
MNRO,27.75,30
MNST,53.46,60
MO,43.51,45
MODG,13.9,15
MODV,35.46,40
MOH,342.2,350
MOMO,7.57,8
MORN,236.83,250
MOS,37.01,40
MOV,29.14,30
MP,19.17,20
MPC,152,200
MPW,5.62,6
MPWR,512.96,600
MQ,6.01,7
MRC,10.21,11
MRK,105.16,150
MRK@DE,169.98,200
MRNA,107.5,150
MRO,27.13,30
MRTX,64.04,70
MRVI,10.18,11
MRVL,55.95,60
MS,82.11,90
MSA,158.47,200
MSCI,528.42,600
MSEX,67.98,70
MSFT,333.68,350
MSGE,33.47,35
MSGS,180.19,200
MSI,291.06,300
MSM,105.28,150
MSNG,1.825,2
MSTR,352,400
MTB,129.04,150
MTCH,40.29,45
MTD,1110.93,1500
MTG,17.6,20
MTH,122.82,150
MTKB,1110,1500
MTN,222.99,250
MTRN,101.88,150
MTSS,275.75,300
MTTR,2.28,3
MTUM,143.25,150
MTX,54.65,60
MTX@DE,213.97,250
MU,70.71,80
MUR,45.49,50
MUV2@DE,231.74,250
MVIS,2.29,3
MXL,22.68,25
MYGN,16.08,20
MYRG,134.76,150
NABL,13.63,15
NAIL,56.69,60
NARI,69.36,70
NATI,57.27,60
NAVI,17.93,20
NBIX,116.27,150
NCNO,32.34,35
NCR,29.39,30
NDAQ,50.13,60
NDSN,230.26,250
NEE,57.98,60
NEM,39.53,40
NEO,12.92,15
NEOG,18.51,20
NET,67,70
NEU,460.47,500
NEWR,86.49,90
NFE,33.97,35
NFG,54.34,60
NFLX,394.7,400
NGVT,47.36,50
NHI,52.47,60
NI,26.12,30
NIC,71.9,80
NICE,174.16,200
NJR,42.6,45
NKE,100.05,150
NKLA,1.58,2
NKTR,0.63,1
NLMK,191.3,200
NLY,18.91,20
NMIH,27.46,30
NMTP,4.65,5
NOC,481.43,500
NOK,3.74,4
NOV,20.95,25
NOVA,10.71,11
NOW,569.48,600
NPK,75.34,80
NRG,41.4,45
NRIX,7.85,8
NSC,203.35,250
NSIT,149.14,150
NSP,99.09,100
NSSC,22.56,25
NTAP,77.48,80
